date,time,contact_date,sex,race,age,ethnicity,was_frisked,contact_officer,zip,circumstance,basis,key_situations,weather,vehicle_involved
2022-01-11,11:50:00,2022-01-11 11:50:00,Male,Black,48,Not of Hispanic Origin,0,164115,02111,Encountered,Encounter,NULL,NULL,TRUE
2022-01-11,11:50:00,2022-01-11 11:50:00,Male,Black,63,Not of Hispanic Origin,0,164115,02111,Encountered,Encounter,NULL,NULL,TRUE
2022-01-11,15:30:00,2022-01-11 15:30:00,Male,White,36,Not of Hispanic Origin,1,141219,02111,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-11,15:13:00,2022-01-11 15:13:00,Male,White,18,NULL,0,140330,02116,Stopped,Intel,NULL,NULL,FALSE
2022-01-11,15:13:00,2022-01-11 15:13:00,Male,Other,19,Hispanic Origin,0,140330,02116,Stopped,Intel,NULL,NULL,FALSE
2022-01-11,16:44:00,2022-01-11 16:44:00,Female,White,37,Not of Hispanic Origin,0,148260,02134,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-11,16:44:00,2022-01-11 16:44:00,Male,White,42,Not of Hispanic Origin,0,148260,02134,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-11,15:30:00,2022-01-11 15:30:00,Male,Black,25,Not of Hispanic Origin,1,131227,02131,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-11,18:30:00,2022-01-11 18:30:00,Male,Black,23,Hispanic Origin,0,077559,02124,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-11,18:30:00,2022-01-11 18:30:00,Female,Black,48,Hispanic Origin,0,077559,02124,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-11,15:22:00,2022-01-11 15:22:00,Male,Black,48,Not of Hispanic Origin,1,072751,02126,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-11,15:22:00,2022-01-11 15:22:00,Male,Black,42,Not of Hispanic Origin,1,072751,02126,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-11,18:35:00,2022-01-11 18:35:00,Male,Black,19,Not of Hispanic Origin,0,162964,02111,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-11,20:50:00,2022-01-11 20:50:00,Male,Black,55,Not of Hispanic Origin,0,077559,02122,Encountered,Intel,NULL,NULL,TRUE
2022-01-11,21:07:00,2022-01-11 21:07:00,Male,White,26,Hispanic Origin,0,162964,02116,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-11,21:07:00,2022-01-11 21:07:00,Male,Other,27,Hispanic Origin,0,162964,02116,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-11,20:00:00,2022-01-11 20:00:00,Male,White,38,Not of Hispanic Origin,0,097285,02118,Encountered,Encounter,NULL,NULL,FALSE
2022-01-11,23:30:00,2022-01-11 23:30:00,Male,Black,21,Hispanic Origin,1,126474,02128,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-11,23:30:00,2022-01-11 23:30:00,Male,White,28,Hispanic Origin,1,126474,02128,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-11,02:00:00,2022-01-11 02:00:00,NA,White,NA,Not of Hispanic Origin,0,148318,02109,Observed,Intel,NULL,NULL,TRUE
2022-01-11,23:40:00,2022-01-11 23:40:00,Male,White,31,Not of Hispanic Origin,0,120901,02135,Observed,Intel,NULL,NULL,FALSE
2022-01-12,00:37:00,2022-01-12 00:37:00,Male,White,48,Not of Hispanic Origin,1,112281,02199,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-12,09:15:00,2022-01-12 09:15:00,Male,Black,30,Unknown,1,153153,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-12,09:15:00,2022-01-12 09:15:00,Female,Black,23,NULL,0,153153,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-12,08:30:00,2022-01-12 08:30:00,Male,White,36,Not of Hispanic Origin,0,111241,02113,Encountered,Probable Cause,NULL,NULL,FALSE
2022-01-12,10:04:00,2022-01-12 10:04:00,NA,Black,NA,Unknown,0,153153,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-12,11:50:00,2022-01-12 11:50:00,Male,Black,16,NULL,1,126514,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-12,11:50:00,2022-01-12 11:50:00,Male,Unknown,17,Hispanic Origin,1,126514,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-12,11:50:00,2022-01-12 11:50:00,Male,White,18,Hispanic Origin,1,126514,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-12,11:50:00,2022-01-12 11:50:00,Male,Black,15,Not of Hispanic Origin,1,126514,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-12,18:25:00,2022-01-12 18:25:00,Male,Black,40,Not of Hispanic Origin,0,164108,02111,Encountered,Encounter,NULL,NULL,FALSE
2022-01-12,20:15:00,2022-01-12 20:15:00,Male,Black,32,NULL,0,164577,02128,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-12,18:52:00,2022-01-12 18:52:00,Male,Unknown,15,Hispanic Origin,1,157673,02124,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-12,18:52:00,2022-01-12 18:52:00,Male,Black,14,Hispanic Origin,1,157673,02124,Stopped,Probable Cause,NULL,NULL,FALSE
